minute,mid_open,mid_close,mid_mean,spread_mean,spread_std,spread_max,relative_spread_mean,ask_depth_mean,bid_depth_mean,imbalance_1_mean,imbalance_3_mean,imbalance_5_mean,imbalance_10_mean,ofi_sum,ofi_mean,ofi_std,event_count,event_size_total,trade_volume,n_new_order,n_partial_cancel,n_full_deletion,n_execution,price_change,depth_imbalance,execution_ratio,mid_return_1m,mid_log_return_1m,hour,minute_of_hour,clock,mid_ma10
615,30.835,30.835,30.82982142857143,0.013987012987013074,0.004897105630821748,0.020000000000003126,0.0004537032076428794,83302.09772727273,75171.34642857143,-0.02380152213859462,-0.055552890683350564,-0.05174115953461816,0.062077241381927516,9084.0,2.949350649350649,817.7436994990426,3080,1989672,49659,1542,10,1387,141,0.0,-0.05130671161980585,0.04577922077922078,0.0,0.0,10,15,10:15,30.751000000000005
616,30.835,30.875,30.872316076294275,0.011967302452315899,0.0039758084313878915,0.020000000000003126,0.0003876393987477471,74804.98065395096,83714.77138964577,0.1551040441061339,0.04170252276254892,0.05759317408628643,0.14808441745547948,136506.0,37.195095367847415,674.7690555756237,3670,2079035,61688,1835,26,1612,197,0.03999999999999915,0.05620618642681454,0.05367847411444142,0.03999999999999915,0.0012963865046851097,10,16,10:16,30.766000000000002
617,30.875,30.895,30.887049608355092,0.011418624891209065,0.003490609781114866,0.019999999999999574,0.00036969311257418764,80408.66057441253,82464.09834638816,0.021980783828138742,-0.009143557387230689,0.010752262335805781,0.07694815985156768,88049.0,76.63098346388163,608.27508128278,1149,605710,25887,591,1,493,64,0.019999999999999574,0.012619899027897707,0.0557006092254134,0.019999999999999574,0.0006475635648017786,10,17,10:17,30.786
618,30.895,30.915,30.900111378687537,0.011649608669476483,0.0037125700062877924,0.020000000000003126,0.00037701290011041505,79435.64358819988,90219.06140878989,0.15751368893921092,0.057971702484051306,0.06282253321864445,0.0839917518568398,82652.0,49.76038531005418,734.8215965081531,1661,944857,34571,819,13,745,84,0.019999999999999574,0.06356097121374467,0.050571944611679714,0.019999999999999574,0.0006471444975888474,10,18,10:18,30.809000000000005
619,30.915,30.915,30.9126761433869,0.013040791100124946,0.0046011110920705246,0.020000000000003126,0.0004218587073676016,80917.32550473836,78574.41161928307,-0.10150989265606726,-0.07152018562562072,-0.013865564789252487,-0.07633089951777572,14548.0,5.994231561598681,745.5873586960406,2427,1565656,35290,1205,11,1100,111,0.0,-0.014689876276370532,0.04573547589616811,0.0,0.0,10,19,10:19,30.831
620,30.915,30.965,30.9320004411116,0.013008381120422961,0.0045872362522195766,0.019999999999999574,0.00042056622778023335,83346.4980149978,82694.96956329951,0.1790992644314235,0.036119310955802335,-0.002156371266860084,0.024391182096832022,230385.0,101.6254962505514,733.3048422284018,2267,1381593,21678,1115,17,1045,90,0.05000000000000071,-0.00392388998483797,0.03970004411116013,0.05000000000000071,0.0016160313794921777,10,20,10:20,30.855
621,30.965,30.965,30.973315520446096,0.011612453531598017,0.0036784258152838378,0.019999999999999574,0.0003749148752652824,109132.43866171004,90719.41775092937,0.018637273546183917,-0.10425245479443489,-0.09220660392777688,0.024142928197657978,-5196.0,-2.4144981412639406,695.8598045784225,2152,1208813,35896,1084,11,932,125,0.0,-0.09213334937836566,0.05808550185873606,0.0,0.0,10,21,10:21,30.875
622,30.965,30.905,30.928130975143404,0.01484225621414977,0.004998108394306847,0.020000000000003126,0.00047990956031934516,82087.09536328872,70704.06142447419,-0.24672693722798436,-0.07841689737527986,-0.06493607022911559,-0.22232114158870608,-231189.0,-55.255497131931165,709.170245411288,4184,2537758,24474,2108,12,1970,94,-0.05999999999999872,-0.07450060709093477,0.022466539196940728,-0.05999999999999872,-0.0019395512787871994,10,22,10:22,30.888000000000005
623,30.905,30.884999999999998,30.885021030494215,0.011756046267086765,0.0038058349307629187,0.019999999999999574,0.0003806270338487128,74177.58044164038,78017.45215562565,-0.11186107122036337,0.04394863728241163,0.0239949207406217,-0.06941990837819653,-60298.0,-31.70241850683491,752.5110220317448,1902,1057984,21130,950,13,879,60,-0.020000000000003126,0.0252299411383959,0.031545741324921134,-0.020000000000003126,-0.0006473539633744529,10,23,10:23,30.899
624,30.884999999999998,30.884999999999998,30.882020202020204,0.011454545454545929,0.0035273672995847646,0.019999999999999574,0.00037091617448404944,71780.76363636364,84308.42222222222,0.12197807452194727,0.06599257072800904,0.07946857352851681,0.013812323866653852,1108.0,1.1191919191919193,613.878610449488,990,510374,9718,501,2,447,40,0.0,0.0802596189924933,0.04040404040404041,0.0,0.0,10,24,10:24,30.904000000000003
